combo_size,combination,count
2,aws+terraform,62952
2,azure+terraform,19660
2,docker+jenkins,5589
2,azure+kubernetes,4282
2,aws+kubernetes,3699
2,aws+docker,3025
2,kubernetes+terraform,2433
2,gcp+terraform,1633
2,grafana+prometheus,1617
2,docker+kubernetes,1464
2,aws+jenkins,1441
2,jenkins+terraform,1424
2,helm+prometheus,1329
2,jenkins+kubernetes,1226
2,helm+kubernetes,1175
2,azure+docker,1026
2,helm+terraform,981
2,docker+terraform,918
2,helm+jenkins,888
2,grafana+helm,867
2,azure+jenkins,678
2,docker+helm,652
2,grafana+terraform,538
2,gcp+kubernetes,513
2,aws+helm,498
2,aws+prometheus,466
2,docker+grafana,464
2,aws+azure,431
2,kubernetes+prometheus,357
2,docker+prometheus,349
2,aws+grafana,293
2,azure+grafana,255
2,aws+gcp,163
2,azure+prometheus,160
2,grafana+kubernetes,159
2,jenkins+prometheus,153
2,prometheus+terraform,115
2,azure+helm,108
2,docker+gcp,99
2,gcp+jenkins,76
2,azure+gcp,56
2,grafana+jenkins,46
2,gcp+helm,22
2,gcp+grafana,3
3,azure+kubernetes+terraform,475
3,docker+helm+jenkins,303
3,aws+helm+terraform,302
3,aws+jenkins+terraform,272
3,docker+jenkins+kubernetes,150
3,aws+grafana+terraform,139
3,aws+docker+terraform,126
3,aws+kubernetes+terraform,76
3,aws+docker+jenkins,64
3,aws+prometheus+terraform,55
3,azure+docker+terraform,48
3,aws+docker+prometheus,46
3,aws+azure+terraform,46
3,helm+jenkins+kubernetes,46
3,docker+grafana+prometheus,37
3,aws+grafana+prometheus,37
3,aws+helm+kubernetes,36
3,aws+azure+gcp,34
3,aws+jenkins+kubernetes,33
3,grafana+jenkins+prometheus,31
3,aws+gcp+terraform,30
3,docker+jenkins+terraform,29
3,grafana+helm+jenkins,29
3,grafana+helm+kubernetes,29
3,grafana+jenkins+kubernetes,29
3,grafana+helm+prometheus,27
3,docker+kubernetes+terraform,26
3,grafana+prometheus+terraform,26
3,grafana+kubernetes+prometheus,23
3,azure+docker+helm,23
3,helm+kubernetes+prometheus,22
3,aws+jenkins+prometheus,21
3,helm+prometheus+terraform,21
3,aws+grafana+kubernetes,20
3,aws+grafana+jenkins,20
3,helm+jenkins+prometheus,19
3,jenkins+kubernetes+prometheus,17
3,aws+docker+kubernetes,16
3,gcp+helm+terraform,15
3,aws+helm+jenkins,14
3,aws+grafana+helm,12
3,azure+docker+jenkins,12
3,azure+helm+kubernetes,11
3,docker+helm+kubernetes,10
3,azure+docker+kubernetes,10
3,azure+grafana+terraform,10
3,helm+kubernetes+terraform,10
3,jenkins+kubernetes+terraform,10
3,grafana+kubernetes+terraform,10
3,jenkins+prometheus+terraform,10
3,aws+docker+helm,9
3,grafana+jenkins+terraform,8
3,docker+helm+prometheus,8
3,gcp+kubernetes+terraform,7
3,azure+jenkins+kubernetes,7
3,azure+helm+jenkins,7
3,azure+jenkins+terraform,7
3,docker+prometheus+terraform,6
3,docker+helm+terraform,6
3,azure+grafana+prometheus,6
3,azure+docker+gcp,6
3,gcp+jenkins+terraform,6
3,kubernetes+prometheus+terraform,5
3,azure+gcp+terraform,5
3,docker+gcp+terraform,5
3,grafana+helm+terraform,5
3,aws+docker+grafana,4
3,docker+jenkins+prometheus,3
3,docker+gcp+jenkins,3
3,aws+docker+gcp,2
3,aws+azure+kubernetes,1
3,aws+helm+prometheus,1
3,aws+azure+jenkins,1
4,grafana+helm+jenkins+kubernetes,29
4,aws+grafana+prometheus+terraform,21
4,grafana+helm+kubernetes+prometheus,17
4,helm+jenkins+kubernetes+prometheus,17
4,grafana+jenkins+kubernetes+prometheus,17
4,grafana+helm+jenkins+prometheus,17
4,aws+grafana+helm+kubernetes,12
4,aws+grafana+helm+jenkins,12
4,aws+grafana+jenkins+kubernetes,12
4,aws+helm+jenkins+kubernetes,12
4,aws+docker+jenkins+kubernetes,12
4,aws+grafana+kubernetes+terraform,8
4,aws+grafana+jenkins+terraform,8
4,aws+grafana+jenkins+prometheus,8
4,aws+jenkins+prometheus+terraform,8
4,docker+helm+jenkins+kubernetes,8
4,aws+docker+jenkins+terraform,8
4,grafana+jenkins+prometheus+terraform,8
4,azure+helm+jenkins+kubernetes,7
4,docker+helm+prometheus+terraform,6
4,aws+azure+gcp+terraform,5
4,aws+docker+kubernetes+terraform,4
4,aws+jenkins+kubernetes+terraform,4
4,docker+jenkins+kubernetes+terraform,4
4,docker+helm+jenkins+prometheus,2
4,aws+helm+kubernetes+terraform,1
5,grafana+helm+jenkins+kubernetes+prometheus,17
5,aws+grafana+helm+jenkins+kubernetes,12
5,aws+grafana+jenkins+prometheus+terraform,8
5,aws+docker+jenkins+kubernetes+terraform,4
